iter	Logloss
0	0.6390527026
1	0.5960801279
2	0.5664343118
3	0.5445471188
4	0.5247320244
5	0.5068392102
6	0.4921440503
7	0.4804723096
8	0.4682666992
9	0.4568435906
10	0.4476890872
11	0.4379654738
12	0.4303001143
13	0.4235221017
14	0.4188866525
15	0.4140445657
16	0.4098669097
17	0.4051803342
18	0.4004927038
19	0.3957507703
20	0.3927280116
21	0.3888057067
22	0.3860840071
23	0.3837522981
24	0.3812228074
25	0.3777972944
26	0.3745390863
27	0.3723624963
28	0.3693960943
29	0.3674440282
30	0.3647168865
31	0.3629478051
32	0.3607625734
33	0.3584487025
34	0.355671346
35	0.3542192153
36	0.3524889029
37	0.351019548
38	0.3495627628
39	0.3474623354
40	0.3458756911
41	0.3444983554
42	0.342524308
43	0.3413669506
44	0.3401969525
45	0.3383806928
46	0.3368155286
47	0.3357979009
48	0.3348949318
49	0.3337305782
50	0.3322696826
51	0.3305161733
52	0.3297179632
53	0.3287747226
54	0.3278160019
55	0.326044747
56	0.3251982373
57	0.3235487831
58	0.3220580629
59	0.3214548443
60	0.3206174518
61	0.3199160234
62	0.3191545134
63	0.3182502517
64	0.3173310962
65	0.3164441951
66	0.3151843726
67	0.3143138146
68	0.3136078131
69	0.3128098072
70	0.3118228851
71	0.3110822003
72	0.3100904262
73	0.3088460745
74	0.307736569
75	0.3069189687
76	0.3059950891
77	0.3054513024
78	0.304884503
79	0.3039458682
80	0.3031502781
81	0.3025171253
82	0.3016862101
83	0.3008611824
84	0.29988375
85	0.2994522892
86	0.2985366594
87	0.2979046985
88	0.2973369619
89	0.2967676563
90	0.2963351177
91	0.2953077458
92	0.2945552762
93	0.2939949379
94	0.2931368665
95	0.2924097931
96	0.2913408546
97	0.2906913156
98	0.290008085
99	0.2896284127
100	0.2890464164
101	0.2884350817
102	0.2877372477
103	0.2871648506
104	0.2864983811
105	0.2858523469
106	0.2851778066
107	0.283862995
108	0.283462421
109	0.2826870931
110	0.2820107628
111	0.2813020799
112	0.2807551086
113	0.2799758157
114	0.2794016895
115	0.2786636218
116	0.2779160149
117	0.2772176794
118	0.276778688
119	0.2763006706
120	0.2757381509
121	0.2751926841
122	0.2742828232
123	0.2736857486
124	0.2724212356
125	0.2714805103
126	0.2710498565
127	0.2703662716
128	0.2697074396
129	0.2689667051
130	0.2685232026
131	0.2678941057
132	0.2675054064
133	0.267090862
134	0.2662817651
135	0.2658820191
136	0.2652783
137	0.2648703696
138	0.2640532764
139	0.2633879985
140	0.262584909
141	0.2621592155
142	0.2613689027
143	0.2607189777
144	0.2601988085
145	0.2598747368
146	0.2594996246
147	0.2587800746
148	0.2578259694
149	0.25729142
150	0.2569926006
151	0.2565659187
152	0.2560828798
153	0.2556183352
154	0.2552391572
155	0.2546868992
156	0.253764985
157	0.2533181709
158	0.2530373765
159	0.2523935505
160	0.2520385835
161	0.2515737641
162	0.2511523383
163	0.2505212175
164	0.2501808011
165	0.2498990559
166	0.249659706
167	0.248428336
168	0.2480213409
169	0.2476369456
170	0.247045698
171	0.2462581915
172	0.2457283244
173	0.2454335804
174	0.2451204187
175	0.2448327702
176	0.243990778
177	0.2437327599
178	0.2434990962
179	0.24311019
180	0.242689517
181	0.2419548026
182	0.2414600391
183	0.2410089133
184	0.2402391609
185	0.2397510115
186	0.2394787484
187	0.239161067
188	0.2388248871
189	0.238562602
190	0.2382832788
191	0.2377846959
192	0.2374824369
193	0.237071194
194	0.2366311757
195	0.2364318816
196	0.2361612816
197	0.2358155509
198	0.2355449579
199	0.2350444885
