iter	Passed	Remaining
0	2618	521057
1	4449	440485
2	5846	383934
3	7182	351925
4	8457	329836
5	9850	318514
6	11132	306936
7	12520	300495
8	13780	292445
9	15151	287871
10	16486	283273
11	17795	278795
12	19211	276353
13	20510	272496
14	21853	269524
15	23141	266125
16	24544	264218
17	25808	260954
18	27173	258859
19	28497	256480
20	29813	254121
21	31259	252921
22	32565	250615
23	34002	249348
24	35302	247114
25	36746	245917
26	38054	243833
27	39398	242021
28	40739	240225
29	42074	238420
30	43440	236821
31	44743	234902
32	46093	233260
33	47364	231249
34	48753	229837
35	50044	227980
36	51408	226473
37	52717	224744
38	54074	223229
39	55395	221583
40	56697	219875
41	58075	218476
42	59380	216806
43	60780	215495
44	62068	213792
45	63483	212532
46	64763	210826
47	66140	209446
48	67448	207852
49	68768	206304
50	70139	204916
51	71408	203239
52	72796	201907
53	74369	201072
54	76171	200816
55	78414	201637
56	80294	201439
57	81999	200757
58	83401	199314
59	84732	197709
60	86049	196080
61	87535	194837
62	89217	194013
63	90704	192746
64	92031	191142
65	93587	190011
66	95966	190500
67	97895	190032
68	99659	189208
69	101529	188554
70	103343	187764
71	104755	186232
72	106124	184628
73	107595	183203
74	108946	181577
75	110383	180099
76	111825	178630
77	113205	177064
78	114660	175619
79	116006	174009
80	117379	172445
81	118817	170980
82	120156	169377
83	121594	167916
84	122961	166359
85	124329	164809
86	125736	163312
87	127069	161724
88	128501	160265
89	129853	158709
90	131213	157167
91	132686	155761
92	134008	154182
93	135418	152706
94	136907	151318
95	138253	149774
96	139646	148284
97	140962	146716
98	142401	145278
99	143741	143741
100	145088	142215
101	146522	140776
102	147828	139217
103	149237	137757
104	150822	136458
105	152518	135252
106	154807	134552
107	156733	133514
108	159382	133062
109	162326	132812
110	165319	132553
111	167354	131492
112	169611	130585
113	171822	129620
114	174114	128693
115	175685	127220
116	177228	125726
117	178785	124240
118	180652	122965
119	182614	121743
120	184664	120566
121	186351	119142
122	188016	117701
123	189977	116437
124	191800	115080
125	193707	113764
126	195524	112387
127	197779	111251
128	199940	110045
129	202169	108860
130	204642	107788
131	207213	106746
132	209121	105347
133	210744	103799
134	213293	102696
135	215124	101235
136	216962	99771
137	218609	98215
138	221215	97080
139	223927	95968
140	225593	94397
141	227017	92725
142	228535	91094
143	229932	89418
144	231514	87815
145	232929	86151
146	234408	84514
147	235868	82872
148	237349	81240
149	238741	79580
150	240216	77950
151	241575	76286
152	243161	74696
153	244564	73051
154	246041	71431
155	247424	69786
156	248920	68175
157	250371	66554
158	251682	64899
159	253222	63305
160	254599	61673
161	256158	60086
162	257592	58471
163	259101	56875
164	260536	55265
165	261995	53661
166	263412	52051
167	264873	50452
168	266345	48856
169	267865	47270
170	269273	45666
171	270770	44078
172	272240	42488
173	273655	40891
174	275121	39303
175	276562	37713
176	278018	36126
177	279443	34537
178	280890	32953
179	282274	31363
180	283781	29789
181	285054	28192
182	286524	26616
183	287999	25043
184	289537	23475
185	290921	21897
186	292424	20328
187	293771	18751
188	295284	17185
189	296648	15613
190	298092	14046
191	299590	12482
192	300953	10915
193	302428	9353
194	303852	7791
195	305301	6230
196	306684	4670
197	308184	3112
198	309563	1555
199	311060	0
